Instrument,SessionContext,TotalBars,Transition,Count
ES,ETH,500,Unresolved->Directional,11
ES,ETH,500,Directional->Directional,26
ES,ETH,500,Directional->Unresolved,4
ES,ETH,500,Unresolved->Degrading,19
ES,ETH,500,Degrading->Unresolved,25
ES,ETH,500,Directional->Degrading,12
ES,ETH,500,Degrading->Degrading,33
ES,ETH,500,Unresolved->Balance,18
ES,ETH,500,Balance->Balance,16
ES,ETH,500,Balance->Unresolved,19
ES,ETH,500,Degrading->Directional,5
ES,ETH,500,Balance->Degrading,3
ES,ETH,500,Degrading->Balance,4
ES,ETH,550,Unknown->Unknown,4
ES,ETH,550,Unknown->Unresolved,1
ES,ETH,550,Unresolved->Unresolved,314
ES,ETH,550,Unresolved->Directional,12
ES,ETH,550,Directional->Directional,33
ES,ETH,550,Directional->Unresolved,4
ES,ETH,550,Unresolved->Degrading,23
ES,ETH,550,Degrading->Unresolved,30
ES,ETH,550,Directional->Degrading,13
ES,ETH,550,Degrading->Degrading,44
ES,ETH,550,Unresolved->Balance,21
ES,ETH,550,Balance->Balance,16
ES,ETH,550,Balance->Unresolved,22
ES,ETH,550,Degrading->Directional,5
ES,ETH,550,Balance->Degrading,3
ES,ETH,550,Degrading->Balance,4
ES,ETH,600,Unknown->Unknown,4
ES,ETH,600,Unknown->Unresolved,1
ES,ETH,600,Unresolved->Unresolved,339
ES,ETH,600,Unresolved->Directional,12
ES,ETH,600,Directional->Directional,33
ES,ETH,600,Directional->Unresolved,4
ES,ETH,600,Unresolved->Degrading,29
ES,ETH,600,Degrading->Unresolved,35
ES,ETH,600,Directional->Degrading,13
ES,ETH,600,Degrading->Degrading,54
ES,ETH,600,Unresolved->Balance,21
ES,ETH,600,Balance->Balance,16
ES,ETH,600,Balance->Unresolved,23
ES,ETH,600,Degrading->Directional,5
ES,ETH,600,Balance->Degrading,4
ES,ETH,600,Degrading->Balance,6
ES,ETH,650,Unknown->Unknown,4
ES,ETH,650,Unknown->Unresolved,1
ES,ETH,650,Unresolved->Unresolved,380
ES,ETH,650,Unresolved->Directional,14
ES,ETH,650,Directional->Directional,33
ES,ETH,650,Directional->Unresolved,5
ES,ETH,650,Unresolved->Degrading,29
ES,ETH,650,Degrading->Unresolved,37
ES,ETH,650,Directional->Degrading,14
ES,ETH,650,Degrading->Degrading,55
ES,ETH,650,Unresolved->Balance,22
ES,ETH,650,Balance->Balance,16
ES,ETH,650,Balance->Unresolved,23
ES,ETH,650,Degrading->Directional,5
ES,ETH,650,Balance->Degrading,5
ES,ETH,650,Degrading->Balance,6
ES,ETH,700,Unknown->Unknown,4
ES,ETH,700,Unknown->Unresolved,1
ES,ETH,700,Unresolved->Unresolved,401
ES,ETH,700,Unresolved->Directional,16
ES,ETH,700,Directional->Directional,35
ES,ETH,700,Directional->Unresolved,5
ES,ETH,700,Unresolved->Degrading,33
