Instrument,SessionContext,TotalBars,Prefix,Quadruplet,Count,ConditionalProbability
ES,RTH,150,Degrading->Degrading->Unresolved,Degrading->Degrading->Unresolved->Balance,1,50.00
ES,RTH,150,Degrading->Unresolved->Balance,Degrading->Unresolved->Balance->Unresolved,1,100.00
ES,RTH,150,Unresolved->Balance->Unresolved,Unresolved->Balance->Unresolved->Balance,1,25.00
ES,RTH,150,Balance->Unresolved->Balance,Balance->Unresolved->Balance->Unresolved,1,100.00
ES,RTH,200,Unknown->Unknown->Unknown,Unknown->Unknown->Unknown->Unresolved,2,100.00
ES,RTH,200,Unknown->Unknown->Unresolved,Unknown->Unknown->Unresolved->Unresolved,2,100.00
ES,RTH,200,Unknown->Unresolved->Unresolved,Unknown->Unresolved->Unresolved->Unresolved,2,100.00
ES,RTH,200,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,88,88.00
ES,RTH,200,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Unknown,1,1.00
ES,RTH,200,Unresolved->Unresolved->Unknown,Unresolved->Unresolved->Unknown->Unknown,1,100.00
ES,RTH,200,Unresolved->Unknown->Unknown,Unresolved->Unknown->Unknown->Unknown,1,100.00
ES,RTH,200,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Directional,4,4.00
ES,RTH,200,Unresolved->Unresolved->Directional,Unresolved->Unresolved->Directional->Directional,3,75.00
ES,RTH,200,Unresolved->Directional->Directional,Unresolved->Directional->Directional->Degrading,2,50.00
ES,RTH,200,Directional->Directional->Degrading,Directional->Directional->Degrading->Unresolved,2,50.00
ES,RTH,200,Directional->Degrading->Unresolved,Directional->Degrading->Unresolved->Unresolved,2,50.00
ES,RTH,200,Degrading->Unresolved->Unresolved,Degrading->Unresolved->Unresolved->Unresolved,5,71.43
ES,RTH,200,Unresolved->Directional->Directional,Unresolved->Directional->Directional->Directional,2,50.00
ES,RTH,200,Directional->Directional->Directional,Directional->Directional->Directional->Directional,8,80.00
ES,RTH,200,Directional->Directional->Directional,Directional->Directional->Directional->Degrading,2,20.00
ES,RTH,200,Directional->Directional->Degrading,Directional->Directional->Degrading->Balance,1,25.00
ES,RTH,200,Directional->Degrading->Balance,Directional->Degrading->Balance->Degrading,1,100.00
ES,RTH,200,Degrading->Balance->Degrading,Degrading->Balance->Degrading->Degrading,1,100.00
ES,RTH,200,Balance->Degrading->Degrading,Balance->Degrading->Degrading->Unresolved,1,100.00
ES,RTH,200,Degrading->Degrading->Unresolved,Degrading->Degrading->Unresolved->Unresolved,2,50.00
ES,RTH,200,Unresolved->Unresolved->Directional,Unresolved->Unresolved->Directional->Degrading,1,25.00
ES,RTH,200,Unresolved->Directional->Degrading,Unresolved->Directional->Degrading->Unresolved,1,100.00
ES,RTH,200,Degrading->Unresolved->Unresolved,Degrading->Unresolved->Unresolved->Balance,1,14.29
