file,src_bar,age,intent,reason,entry_close,now_close,delta
CLOutput0430.txt,453,5,ExitLong,long_decay_exit phase=None score=0.00 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,112.56,112.09,-0.47
CLOutput0430.txt,453,10,ExitLong,long_decay_exit phase=None score=0.00 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,112.56,112.67,0.11
CLOutput0430.txt,675,3,EnterShort,enter_short_early_ftt,92.51,93.03,0.52
CLOutput0430.txt,675,5,EnterShort,enter_short_early_ftt,92.51,92.49,-0.02
CLOutput0430.txt,680,3,ExitShort,short_dead_signal_exit deg=5,92.49,91.76,-0.73
CLOutput0430.txt,680,5,ExitShort,short_dead_signal_exit deg=5,92.49,91.92,-0.57
CLOutput0430.txt,675,10,EnterShort,enter_short_early_ftt,92.51,91.92,-0.59
CLOutput0430.txt,680,10,ExitShort,short_dead_signal_exit deg=5,92.49,91.82,-0.67
CLOutput0430.txt,805,3,EnterLong,enter_long_valid,92.7,93.51,0.81
CLOutput0430.txt,805,5,EnterLong,enter_long_valid,92.7,93.02,0.32
CLOutput0430.txt,810,3,ExitLong,long_imbalance_failure_exit imbP3=-1.00 CNT id=39 dir=Up state=SeekingP3 P1=798@90.95 P2=809@93.75 P3=810@92.99 FTT=NA domLeg=798-809 pb=810-810 post=NA postP3Len=0 imbP2=-1.00 imbP3=-1.00,93.02,93.32,0.3
CLOutput0430.txt,810,5,ExitLong,long_imbalance_failure_exit imbP3=-1.00 CNT id=39 dir=Up state=SeekingP3 P1=798@90.95 P2=809@93.75 P3=810@92.99 FTT=NA domLeg=798-809 pb=810-810 post=NA postP3Len=0 imbP2=-1.00 imbP3=-1.00,93.02,92.93,-0.09
CLOutput0430.txt,805,10,EnterLong,enter_long_valid,92.7,92.93,0.23
CLOutput0430.txt,810,10,ExitLong,long_imbalance_failure_exit imbP3=-1.00 CNT id=39 dir=Up state=SeekingP3 P1=798@90.95 P2=809@93.75 P3=810@92.99 FTT=NA domLeg=798-809 pb=810-810 post=NA postP3Len=0 imbP2=-1.00 imbP3=-1.00,93.02,93.15,0.13
CLOutput0430.txt,902,3,EnterLong,enter_long_valid,94.27,94.28,0.01
CLOutput0430.txt,902,5,EnterLong,enter_long_valid,94.27,94.4,0.13
CLOutput0430.txt,909,3,ExitLong,long_decay_exit phase=LongCandidate score=0.40 deg=7 exitTh=4 graceLimit=6 containerSupport=False earlySC=False,94.42,94.83,0.41
CLOutput0430.txt,902,10,EnterLong,enter_long_valid,94.27,94.83,0.56
CLOutput0430.txt,909,5,ExitLong,long_decay_exit phase=LongCandidate score=0.40 deg=7 exitTh=4 graceLimit=6 containerSupport=False earlySC=False,94.42,94.62,0.2
CLOutput0430.txt,909,10,ExitLong,long_decay_exit phase=LongCandidate score=0.40 deg=7 exitTh=4 graceLimit=6 containerSupport=False earlySC=False,94.42,94.21,-0.21
CLOutput0430.txt,1063,3,EnterShort,enter_short_structured_persisted,92.49,93.22,0.73
CLOutput0430.txt,1063,5,EnterShort,enter_short_structured_persisted,92.49,94.15,1.66
CLOutput0430.txt,1069,3,ExitShort,short_dead_signal_exit deg=5,93.95,94.75,0.8
CLOutput0430.txt,1070,3,EnterShort,enter_short_structured_persisted,94.09,94.73,0.64
CLOutput0430.txt,1063,10,EnterShort,enter_short_structured_persisted,92.49,94.73,2.24
CLOutput0430.txt,1069,5,ExitShort,short_dead_signal_exit deg=5,93.95,95.11,1.16
CLOutput0430.txt,1070,5,EnterShort,enter_short_structured_persisted,94.09,95.1,1.01
CLOutput0430.txt,1075,3,ExitShort,short_dead_signal_exit deg=5,95.1,95.24,0.14
