Instrument,SessionContext,TotalBars,Transition,Entries,MeanPriorRunLength,MeanSponsorConfidence,MaxSponsorConfidence,MeanDominanceScore,MeanDegradationScore,MeanBalanceScore,EventCount,MeanCompressionScore,MeanExpansionPressure,MeanStructuralCompression,MeanEntropicCompression
ES,RTH,350,Balance->Unresolved,15,1.27,0.498,0.700,0.110,0.869,0.641,19,0.394,0.302,0.467,0.684
ES,RTH,350,Unresolved->Degrading,9,8.00,0.371,0.800,0.230,0.848,0.536,49,0.379,0.400,0.455,0.637
ES,RTH,350,Degrading->Directional,3,1.67,0.517,0.600,0.530,0.635,0.410,5,0.414,0.574,0.523,0.503
ES,RTH,350,Directional->Unresolved,1,3.00,0.350,0.550,0.395,0.327,0.249,0,0.330,0.451,0.454,0.315
ES,RTH,400,Unknown->Unresolved,2,3.00,0.250,0.250,0.122,0.066,0.074,4,0.352,0.297,0.458,0.214
ES,RTH,400,Unresolved->Unknown,1,4.00,0.200,0.200,0.256,0.000,0.000,0,0.193,0.447,0.446,0.130
ES,RTH,400,Unresolved->Directional,8,13.75,0.369,0.800,0.193,0.587,0.394,54,0.347,0.394,0.449,0.472
ES,RTH,400,Directional->Degrading,10,2.70,0.632,0.700,0.567,0.449,0.270,11,0.295,0.612,0.466,0.333
ES,RTH,400,Degrading->Unresolved,17,2.06,0.548,0.717,0.388,0.765,0.458,34,0.376,0.479,0.457,0.573
ES,RTH,400,Degrading->Balance,5,1.60,0.602,0.700,0.410,0.718,0.506,8,0.460,0.461,0.525,0.576
ES,RTH,400,Balance->Degrading,4,2.00,0.408,0.700,0.322,0.933,0.636,8,0.437,0.494,0.543,0.707
ES,RTH,400,Unresolved->Balance,19,4.26,0.379,0.700,0.115,0.894,0.624,69,0.404,0.308,0.473,0.697
ES,RTH,400,Balance->Unresolved,20,1.40,0.456,0.700,0.110,0.860,0.641,25,0.410,0.284,0.472,0.693
ES,RTH,400,Unresolved->Degrading,11,7.27,0.369,0.800,0.228,0.810,0.532,52,0.374,0.408,0.465,0.612
ES,RTH,400,Degrading->Directional,3,1.67,0.517,0.600,0.530,0.635,0.410,5,0.414,0.574,0.523,0.503
ES,RTH,400,Directional->Unresolved,1,3.00,0.350,0.550,0.395,0.327,0.249,0,0.330,0.451,0.454,0.315
