Instrument,SessionContext,TotalBars,Bucket,Transition,Count
ES,RTH,350,0.60-0.80,Degrading->Unresolved,1
ES,RTH,350,0.00-0.20,Unresolved->Balance,13
ES,RTH,350,0.00-0.20,Balance->Unresolved,12
ES,RTH,350,0.20-0.40,Unresolved->Degrading,6
ES,RTH,350,0.20-0.40,Degrading->Directional,1
ES,RTH,350,0.00-0.20,Degrading->Unresolved,2
ES,RTH,350,0.00-0.20,Unresolved->Directional,2
ES,RTH,350,0.80-1.00,Unresolved->Directional,1
ES,RTH,350,0.80-1.00,Directional->Degrading,3
ES,RTH,350,0.20-0.40,Unresolved->Balance,2
ES,RTH,350,0.20-0.40,Balance->Unresolved,3
ES,RTH,350,0.00-0.20,Unresolved->Degrading,3
ES,RTH,350,0.20-0.40,Degrading->Balance,1
ES,RTH,350,0.40-0.60,Directional->Unresolved,1
ES,RTH,350,0.60-0.80,Degrading->Directional,1
ES,RTH,350,0.80-1.00,Degrading->Directional,1
ES,RTH,350,0.00-0.20,Degrading->Balance,1
ES,RTH,400,0.40-0.60,Unknown->Unresolved,2
ES,RTH,400,0.60-0.80,Unresolved->Unknown,1
ES,RTH,400,0.40-0.60,Unresolved->Directional,2
ES,RTH,400,0.40-0.60,Directional->Degrading,2
ES,RTH,400,0.20-0.40,Degrading->Unresolved,4
ES,RTH,400,0.20-0.40,Unresolved->Directional,3
ES,RTH,400,0.60-0.80,Directional->Degrading,5
ES,RTH,400,0.40-0.60,Degrading->Balance,2
ES,RTH,400,0.20-0.40,Balance->Degrading,4
ES,RTH,400,0.40-0.60,Degrading->Unresolved,9
ES,RTH,400,0.60-0.80,Degrading->Unresolved,1
ES,RTH,400,0.00-0.20,Unresolved->Balance,16
ES,RTH,400,0.00-0.20,Balance->Unresolved,16
ES,RTH,400,0.20-0.40,Unresolved->Degrading,6
ES,RTH,400,0.20-0.40,Degrading->Directional,1
ES,RTH,400,0.00-0.20,Degrading->Unresolved,3
ES,RTH,400,0.00-0.20,Unresolved->Directional,2
ES,RTH,400,0.80-1.00,Unresolved->Directional,1
ES,RTH,400,0.80-1.00,Directional->Degrading,3
ES,RTH,400,0.20-0.40,Unresolved->Balance,3
ES,RTH,400,0.20-0.40,Balance->Unresolved,4
ES,RTH,400,0.00-0.20,Unresolved->Degrading,3
ES,RTH,400,0.20-0.40,Degrading->Balance,1
ES,RTH,400,0.40-0.60,Directional->Unresolved,1
ES,RTH,400,0.60-0.80,Degrading->Directional,1
ES,RTH,400,0.80-1.00,Degrading->Directional,1
ES,RTH,400,0.00-0.20,Degrading->Balance,1
ES,RTH,400,0.40-0.60,Unresolved->Degrading,2
ES,RTH,400,0.60-0.80,Degrading->Balance,1
